  1.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
  0.0000000  0.0000000  0.8877241  0.0000000 -0.1122759  0.0000000  0.1122759 -0.0000454  0.1122759 -0.0000454  0.1121952  0.0000227 -0.1121952  0.0000681
 -0.0000000  0.0000000 -0.1122759 -0.0000000  0.8877241 -0.0000000  0.1122759 -0.0000454  0.1122759 -0.0000454  0.1121952  0.0000227 -0.1121952  0.0000681
 -0.0000000  0.0000000  0.1122759  0.0000454  0.1122759  0.0000454  0.8877241  0.0000000 -0.1122759  0.0000000 -0.1121952 -0.0000681  0.1121952 -0.0000227
  0.0000000  0.0000000  0.1122759  0.0000454  0.1122759  0.0000454 -0.1122759 -0.0000000  0.8877241  0.0000000 -0.1121952 -0.0000681  0.1121952 -0.0000227
  0.0000000  0.0000000  0.1121952 -0.0000227  0.1121952 -0.0000227 -0.1121952  0.0000681 -0.1121952  0.0000681  0.8878854  0.0000000  0.1121145 -0.0000907
  0.0000000  0.0000000 -0.1121952 -0.0000681 -0.1121952 -0.0000681  0.1121952  0.0000227  0.1121952  0.0000227  0.1121145  0.0000907  0.8878854 -0.0000000
  0.8797775 -0.0000000  0.0026781 -0.0002666  0.0026996 -0.0002688  0.0026314  0.0002646  0.0026522  0.0002666  0.0026791  0.0002702  0.0026626 -0.0002660
  0.0026781  0.0002666  0.8876844  0.0000000 -0.1132168  0.0000000  0.1113176 -0.0000568  0.1121969 -0.0000572  0.1130156  0.0000109 -0.1113554  0.0000676
  0.0026996  0.0002688 -0.1132168 -0.0000000  0.8858748  0.0000000  0.1122107 -0.0000573  0.1130971 -0.0000577  0.1139224  0.0000110 -0.1122489  0.0000681
  0.0026314 -0.0002646  0.1113176  0.0000568  0.1122107  0.0000573  0.8894391 -0.0000000 -0.1114342  0.0000000 -0.1122477 -0.0000681  0.1103656 -0.0000107
  0.0026522 -0.0002666  0.1121969  0.0000572  0.1130971  0.0000577 -0.1114342 -0.0000000  0.8876855 -0.0000000 -0.1131344 -0.0000687  0.1112374 -0.0000107
  0.0026791 -0.0002702  0.1130156 -0.0000109  0.1139224 -0.0000110 -0.1122477  0.0000681 -0.1131344  0.0000687  0.8860396  0.0000000  0.1120491 -0.0000788
  0.0026626  0.0002660 -0.1113554 -0.0000676 -0.1122489 -0.0000681  0.1103656  0.0000107  0.1112374  0.0000107  0.1120491  0.0000788  0.8895966  0.0000000
  0.7896121  0.0000000  0.0066851 -0.0006670  0.0067936 -0.0006778  0.0065494  0.0006567  0.0066524  0.0006670  0.0067746  0.0006815  0.0065952 -0.0006602
  0.0066851  0.0006670  0.8875917  0.0000000 -0.1142335  0.0000000  0.1102497 -0.0000863  0.1119845 -0.0000877  0.1137204 -0.0000201 -0.1105879  0.0000671
  0.0067936  0.0006778 -0.1142335 -0.0000000  0.8839117  0.0000000  0.1120398 -0.0000877  0.1138028 -0.0000891  0.1155668 -0.0000204 -0.1123835  0.0000682
  0.0065494 -0.0006567  0.1102497  0.0000863  0.1120398  0.0000877  0.8910495  0.0000000 -0.1106649  0.0000000 -0.1123814 -0.0000682  0.1084631  0.0000192
  0.0066524 -0.0006670  0.1119845  0.0000877  0.1138028  0.0000891 -0.1106649 -0.0000000  0.8875937  0.0000000 -0.1141498 -0.0000692  0.1101698  0.0000195
  0.0067746 -0.0006815  0.1137204  0.0000201  0.1155668  0.0000204 -0.1123814  0.0000682 -0.1141498  0.0000692  0.8840795  0.0000000  0.1118775 -0.0000481
  0.0065952  0.0006602 -0.1105879 -0.0000671 -0.1123835 -0.0000682  0.1084631 -0.0000192  0.1101698 -0.0000195  0.1118775  0.0000481  0.8912029 -0.0000000
  0.7200007 -0.0000000  0.0110063 -0.0010986  0.0112775 -0.0011257  0.0107180  0.0010734  0.0109700  0.0010986  0.0112639  0.0011317  0.0107759 -0.0010791
