  1.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
  0.0000000  0.0000000  0.8609315  0.0006575 -0.1390685  0.0006575 -0.0700448 -0.1201424 -0.0700448 -0.1201424 -0.0701628 -0.1201418 -0.1391279  0.0005556
  0.0000000  0.0000000 -0.1390685  0.0006575  0.8609315  0.0006575 -0.0700448 -0.1201424 -0.0700448 -0.1201424 -0.0701628 -0.1201418 -0.1391279  0.0005556
  0.0000000 -0.0000000 -0.0700448  0.1201424 -0.0700448  0.1201424  0.8609315 -0.0006575 -0.1390685 -0.0006575 -0.1391279 -0.0005556 -0.0701628  0.1201418
  0.0000000 -0.0000000 -0.0700448  0.1201424 -0.0700448  0.1201424 -0.1390685 -0.0006575  0.8609315 -0.0006575 -0.1391279 -0.0005556 -0.0701628  0.1201418
  0.0000000 -0.0000000 -0.0701618  0.1201424 -0.0701618  0.1201424 -0.1391269 -0.0007589 -0.1391269 -0.0007589  0.8608136 -0.0006569 -0.0702799  0.1201417
  0.0000000  0.0000000 -0.1391269  0.0007589 -0.1391269  0.0007589 -0.0701618 -0.1201424 -0.0701618 -0.1201424 -0.0702799 -0.1201417  0.8608136  0.0006569
  0.7343066  0.0000003 -0.0266228  0.0051818 -0.0267112  0.0051990 -0.0265823 -0.0051957 -0.0266702 -0.0052129 -0.0266778 -0.0052085 -0.0266304  0.0051774
 -0.0006775  0.0010718  0.8614971  0.0006060 -0.1389631  0.0006080 -0.0696022 -0.1194727 -0.0698325 -0.1198679 -0.0699502 -0.1198674 -0.1385620  0.0005045
 -0.0006845  0.0010821 -0.1398578  0.0006260  0.8596775  0.0006281 -0.0702953 -0.1206344 -0.0705279 -0.1210334 -0.0706467 -0.1210329 -0.1399175  0.0005235
 -0.0006736 -0.0010656 -0.0694509  0.1192217 -0.0696816  0.1196178  0.8620934 -0.0005990 -0.1383627 -0.0006009 -0.1384218 -0.0004995 -0.0695680  0.1192213
