  0.5564311  0.0000000  0.0595470 -0.0042114  0.0595470 -0.0042114  0.0570053  0.0040688  0.0570053  0.0040688  0.0602775  0.0043267  0.0567563 -0.0040372 -0.0886206 -0.0000000 -0.0886206 -0.0000000 -0.0902210 -0.0000502 -0.0871525  0.0000485 -0.0871525  0.0000485 -0.0902210 -0.0000502  0.0411347 -0.0029260  0.0414724  0.0029769  0.0414724  0.0029769  0.0411347 -0.0029260  0.0420580 -0.0029574  0.0402568  0.0028571  0.0355835  0.0025398  0.0360878 -0.0025523  0.0360878 -0.0025523  0.0355835  0.0025398  0.0362867 -0.0025516  0.0352520  0.0025019  0.0362867 -0.0025516  0.0352520  0.0025019  0.0362790  0.0026188  0.0357163 -0.0025552  0.0357163 -0.0025552  0.0362790  0.0026188 -0.0669721  0.0000372 -0.0677490 -0.0000377 -0.0669721  0.0000372 -0.0677490 -0.0000377 -0.0681546 -0.0000758 -0.0665996  0.0000740
  0.0153770  0.0010875  0.9096724  0.0000000 -0.0903276  0.0000000  0.0832952 -0.0003153  0.0832952 -0.0003153  0.0878209 -0.0002796 -0.0858581  0.0000517  0.0030722  0.0002173  0.0030722  0.0002173  0.0032238  0.0002230  0.0029284  0.0002121  0.0029284  0.0002121  0.0032238  0.0002230 -0.0622266  0.0000375  0.0604229 -0.0001924  0.0604229 -0.0001924 -0.0622266  0.0000375 -0.0639742 -0.0000385  0.0589940 -0.0002588  0.0519940 -0.0001968 -0.0547421  0.0000000 -0.0547421  0.0000000  0.0519940 -0.0001968 -0.0551954 -0.0000332  0.0516598 -0.0002267 -0.0551954 -0.0000332  0.0516598 -0.0002267  0.0527032 -0.0001361 -0.0538817  0.0000649 -0.0538817  0.0000649  0.0527032 -0.0001361  0.0022503  0.0001630  0.0024209  0.0001674  0.0022503  0.0001630  0.0024209  0.0001674  0.0025080  0.0001699  0.0021668  0.0001609
  0.0153770  0.0010875 -0.0903276 -0.0000000  0.9096724  0.0000000  0.0832952 -0.0003153  0.0832952 -0.0003153  0.0878209 -0.0002796 -0.0858581  0.0000517  0.0030722  0.0002173  0.0030722  0.0002173  0.0032238  0.0002230  0.0029284  0.0002121  0.0029284  0.0002121  0.0032238  0.0002230 -0.0622266  0.0000375  0.0604229 -0.0001924  0.0604229 -0.0001924 -0.0622266  0.0000375 -0.0639742 -0.0000385  0.0589940 -0.0002588  0.0519940 -0.0001968 -0.0547421 -0.0000000 -0.0547421  0.0000000  0.0519940 -0.0001968 -0.0551954 -0.0000332  0.0516598 -0.0002267 -0.0551954 -0.0000332  0.0516598 -0.0002267  0.0527032 -0.0001361 -0.0538817  0.0000649 -0.0538817  0.0000649  0.0527032 -0.0001361  0.0022503  0.0001630  0.0024209  0.0001674  0.0022503  0.0001630  0.0024209  0.0001674  0.0025080  0.0001699  0.0021668  0.0001609
  0.0137830 -0.0009838  0.0779892  0.0002952  0.0779892  0.0002952  0.9210956  0.0000000 -0.0789044  0.0000000 -0.0832025 -0.0000501  0.0741204  0.0002360  0.0027537 -0.0001965  0.0027537 -0.0001965  0.0027164 -0.0001986  0.0027921 -0.0001948  0.0027921 -0.0001948  0.0027164 -0.0001986  0.0537196  0.0001710 -0.0572453 -0.0000345 -0.0572453 -0.0000345  0.0537196  0.0001710  0.0552428  0.0002424 -0.0558769  0.0000337 -0.0492532  0.0000000  0.0472645  0.0001789  0.0472645  0.0001789 -0.0492532  0.0000000  0.0476622  0.0002091 -0.0489302  0.0000295  0.0476622  0.0002091 -0.0489302  0.0000295 -0.0499381 -0.0000602  0.0465095  0.0001201  0.0465095  0.0001201 -0.0499381 -0.0000602  0.0021456 -0.0001497  0.0020398 -0.0001491  0.0021456 -0.0001497  0.0020398 -0.0001491  0.0019863 -0.0001490  0.0021979 -0.0001501
  0.0137830 -0.0009838  0.0779892  0.0002952  0.0779892  0.0002952 -0.0789044 -0.0000000  0.9210956  0.0000000 -0.0832025 -0.0000501  0.0741204  0.0002360  0.0027537 -0.0001965  0.0027537 -0.0001965  0.0027164 -0.0001986  0.0027921 -0.0001948  0.0027921 -0.0001948  0.0027164 -0.0001986  0.0537196  0.0001710 -0.0572453 -0.0000345 -0.0572453 -0.0000345  0.0537196  0.0001710  0.0552428  0.0002424 -0.0558769  0.0000337 -0.0492532  0.0000000  0.0472645  0.0001789  0.0472645  0.0001789 -0.0492532  0.0000000  0.0476622  0.0002091 -0.0489302  0.0000295  0.0476622  0.0002091 -0.0489302  0.0000295 -0.0499381 -0.0000602  0.0465095  0.0001201  0.0465095  0.0001201 -0.0499381 -0.0000602  0.0021456 -0.0001497  0.0020398 -0.0001491  0.0021456 -0.0001497  0.0020398 -0.0001491  0.0019863 -0.0001490  0.0021979 -0.0001501
  0.0161410 -0.0011586  0.0910668  0.0002899  0.0910668  0.0002899 -0.0921475  0.0000555 -0.0921475  0.0000555  0.9028330 -0.0000000  0.0865492  0.0002234  0.0032248 -0.0002315  0.0032248 -0.0002315  0.0031815 -0.0002339  0.0032695 -0.0002295  0.0032695 -0.0002295  0.0031815 -0.0002339  0.0627275  0.0001619 -0.0668532  0.0000000 -0.0668532 -0.0000000  0.0627275  0.0001619  0.0645062  0.0002442 -0.0652551  0.0000786 -0.0575197  0.0000346  0.0551901  0.0001757  0.0551901  0.0001757 -0.0575197  0.0000346  0.0556544  0.0002107 -0.0571425  0.0000688  0.0556544  0.0002107 -0.0571425  0.0000688 -0.0583197 -0.0000351  0.0543083  0.0001075  0.0543083  0.0001075 -0.0583197 -0.0000351  0.0025125 -0.0001764  0.0023890 -0.0001756  0.0025125 -0.0001764  0.0023890 -0.0001756  0.0023266 -0.0001754  0.0025735 -0.0001769
  0.0133166  0.0009472 -0.0780097 -0.0000470 -0.0780097 -0.0000470  0.0719269 -0.0002290  0.0719269 -0.0002290  0.0758349 -0.0001958  0.9258503 -0.0000000  0.0026605  0.0001893  0.0026605  0.0001893  0.0027916  0.0001943  0.0025362  0.0001847  0.0025362  0.0001847  0.0027916  0.0001943 -0.0537408 -0.0000000  0.0521762 -0.0001347  0.0521762 -0.0001347 -0.0537408  0.0000000 -0.0552501 -0.0000666  0.0509424 -0.0001928  0.0448977 -0.0001429 -0.0472770 -0.0000285 -0.0472770 -0.0000285  0.0448977 -0.0001429 -0.0476685 -0.0000574  0.0446091 -0.0001689 -0.0476685 -0.0000574  0.0446091 -0.0001689  0.0455101 -0.0000901 -0.0465340  0.0000280 -0.0465340  0.0000280  0.0455101 -0.0000901  0.0019490  0.0001419  0.0020963  0.0001459  0.0019490  0.0001419  0.0020963  0.0001459  0.0021716  0.0001480  0.0018768  0.0001401
 -0.0129129  0.0000000  0.0017335 -0.0001226  0.0017335 -0.0001226  0.0016595  0.0001184  0.0016595  0.0001184  0.0017548  0.0001260  0.0016523 -0.0001175  0.9974201 -0.0000000 -0.0025799  0.0000000 -0.0026265 -0.0000015 -0.0025371  0.0000014 -0.0025371  0.0000014 -0.0026265 -0.0000015  0.0011975 -0.0000852  0.0012073  0.0000867  0.0012073  0.0000867  0.0011975 -0.0000852  0.0012244 -0.0000861  0.0011719  0.0000832  0.0010359  0.0000739  0.0010506 -0.0000743  0.0010506 -0.0000743  0.0010359  0.0000739  0.0010564 -0.0000743  0.0010262  0.0000728  0.0010564 -0.0000743  0.0010262  0.0000728  0.0010561  0.0000762  0.0010398 -0.0000744  0.0010398 -0.0000744  0.0010561  0.0000762 -0.0019497  0.0000011 -0.0019723 -0.0000011 -0.0019497  0.0000011 -0.0019723 -0.0000011 -0.0019841 -0.0000022 -0.0019388  0.0000022
 -0.0129129  0.0000000  0.0017335 -0.0001226  0.0017335 -0.0001226  0.0016595  0.0001184  0.0016595  0.0001184  0.0017548  0.0001260  0.0016523 -0.0001175 -0.0025799 -0.0000000  0.9974201 -0.0000000 -0.0026265 -0.0000015 -0.0025371  0.0000014 -0.0025371  0.0000014 -0.0026265 -0.0000015  0.0011975 -0.0000852  0.0012073  0.0000867  0.0012073  0.0000867  0.0011975 -0.0000852  0.0012244 -0.0000861  0.0011719  0.0000832  0.0010359  0.0000739  0.0010506 -0.0000743  0.0010506 -0.0000743  0.0010359  0.0000739  0.0010564 -0.0000743  0.0010262  0.0000728  0.0010564 -0.0000743  0.0010262  0.0000728  0.0010561  0.0000762  0.0010398 -0.0000744  0.0010398 -0.0000744  0.0010561  0.0000762 -0.0019497  0.0000011 -0.0019723 -0.0000011 -0.0019497  0.0000011 -0.0019723 -0.0000011 -0.0019841 -0.0000022 -0.0019388  0.0000022
 -0.0136237  0.0000076  0.0018852 -0.0001304  0.0018852 -0.0001304  0.0016965  0.0001240  0.0016965  0.0001240  0.0017941  0.0001319  0.0017967 -0.0001250 -0.0027219  0.0000015 -0.0027219  0.0000015  0.9972289 -0.0000000 -0.0026767  0.0000030 -0.0026767  0.0000030 -0.0027711 -0.0000000  0.0013021 -0.0000906  0.0012344  0.0000907  0.0012344  0.0000907  0.0013021 -0.0000906  0.0013316 -0.0000915  0.0011980  0.0000871  0.0010590  0.0000774  0.0011425 -0.0000790  0.0011425 -0.0000790  0.0010590  0.0000774  0.0011489 -0.0000790  0.0010490  0.0000763  0.0011489 -0.0000790  0.0010490  0.0000763  0.0010799  0.0000798  0.0011305 -0.0000791  0.0011305 -0.0000791  0.0010799  0.0000798 -0.0020569  0.0000023 -0.0020809  0.0000000 -0.0020569  0.0000023 -0.0020809 -0.0000000 -0.0020934 -0.0000012 -0.0020454  0.0000034
