  0.5526204  0.0000000  0.0601040 -0.0049596  0.0601040 -0.0049596  0.0574514  0.0047916  0.0574514  0.0047916  0.0607489  0.0050891  0.0572866 -0.0047486 -0.0893820 -0.0000000 -0.0893820 -0.0000000 -0.0909961 -0.0000498 -0.0879012  0.0000481 -0.0879012  0.0000481 -0.0909961 -0.0000498  0.0415191 -0.0034416  0.0417967  0.0035015  0.0417967  0.0035015  0.0415191 -0.0034416  0.0424519 -0.0034871  0.0405721  0.0033689
  0.0155209  0.0012807  0.8948965  0.0000000 -0.1051035  0.0000000  0.0975331 -0.0003710  0.0975331 -0.0003710  0.1028333 -0.0003292 -0.0999019  0.0000602  0.0031009  0.0002559  0.0031009  0.0002559  0.0032692  0.0002623  0.0029411  0.0002501  0.0029411  0.0002501  0.0032692  0.0002623 -0.0724050  0.0000436  0.0707518 -0.0002265  0.0707518 -0.0002265 -0.0724050  0.0000436 -0.0744399 -0.0000448  0.0690773 -0.0003043
  0.0155209  0.0012807 -0.1051035 -0.0000000  0.8948965  0.0000000  0.0975331 -0.0003710  0.0975331 -0.0003710  0.1028333 -0.0003292 -0.0999019  0.0000602  0.0031009  0.0002559  0.0031009  0.0002559  0.0032692  0.0002623  0.0029411  0.0002501  0.0029411  0.0002501  0.0032692  0.0002623 -0.0724050  0.0000436  0.0707518 -0.0002265  0.0707518 -0.0002265 -0.0724050  0.0000436 -0.0744399 -0.0000448  0.0690773 -0.0003043
  0.0138908 -0.0011585  0.0913201  0.0003473  0.0913201  0.0003473  0.9081887  0.0000000 -0.0918113  0.0000000 -0.0968115 -0.0000583  0.0867908  0.0002779  0.0027752 -0.0002315  0.0027752 -0.0002315  0.0027238 -0.0002342  0.0028274 -0.0002292  0.0028274 -0.0002292  0.0027238 -0.0002342  0.0629026  0.0002014 -0.0666087 -0.0000401 -0.0666087 -0.0000401  0.0629026  0.0002014  0.0646850  0.0002850 -0.0650176  0.0000392
  0.0138908 -0.0011585  0.0913201  0.0003473  0.0913201  0.0003473 -0.0918113 -0.0000000  0.9081887  0.0000000 -0.0968115 -0.0000583  0.0867908  0.0002779  0.0027752 -0.0002315  0.0027752 -0.0002315  0.0027238 -0.0002342  0.0028274 -0.0002292  0.0028274 -0.0002292  0.0027238 -0.0002342  0.0629026  0.0002014 -0.0666087 -0.0000401 -0.0666087 -0.0000401  0.0629026  0.0002014  0.0646850  0.0002850 -0.0650176  0.0000392
  0.0162672 -0.0013628  0.1066340  0.0003414  0.1066340  0.0003414 -0.1072197  0.0000646 -0.1072197  0.0000646  0.8869408 -0.0000000  0.1013452  0.0002635  0.0032500 -0.0002723  0.0032500 -0.0002723  0.0031901 -0.0002754  0.0033107 -0.0002696  0.0033107 -0.0002696  0.0031901 -0.0002754  0.0734511  0.0001910 -0.0777875  0.0000000 -0.0777875 -0.0000000  0.0734511  0.0001910  0.0755324  0.0002873 -0.0759293  0.0000915
  0.0134411  0.0011142 -0.0907698 -0.0000547 -0.0907698 -0.0000547  0.0842223 -0.0002697  0.0842223 -0.0002697  0.0887992 -0.0002309  0.9137223 -0.0000000  0.0026854  0.0002226  0.0026854  0.0002226  0.0028308  0.0002282  0.0025473  0.0002175  0.0025473  0.0002175  0.0028308  0.0002282 -0.0625307 -0.0000000  0.0610960 -0.0001588  0.0610960 -0.0001588 -0.0625307  0.0000000 -0.0642880 -0.0000774  0.0596501 -0.0002269
 -0.0130239  0.0000000  0.0017497 -0.0001444  0.0017497 -0.0001444  0.0016725  0.0001395  0.0016725  0.0001395  0.0017685  0.0001482  0.0016677 -0.0001382  0.9973980 -0.0000000 -0.0026020  0.0000000 -0.0026490 -0.0000015 -0.0025589  0.0000014 -0.0025589  0.0000014 -0.0026490 -0.0000015  0.0012087 -0.0001002  0.0012168  0.0001019  0.0012168  0.0001019  0.0012087 -0.0001002  0.0012358 -0.0001015  0.0011811  0.0000981
 -0.0130239  0.0000000  0.0017497 -0.0001444  0.0017497 -0.0001444  0.0016725  0.0001395  0.0016725  0.0001395  0.0017685  0.0001482  0.0016677 -0.0001382 -0.0026020 -0.0000000  0.9973980 -0.0000000 -0.0026490 -0.0000015 -0.0025589  0.0000014 -0.0025589  0.0000014 -0.0026490 -0.0000015  0.0012087 -0.0001002  0.0012168  0.0001019  0.0012168  0.0001019  0.0012087 -0.0001002  0.0012358 -0.0001015  0.0011811  0.0000981
 -0.0137407  0.0000075  0.0019117 -0.0001534  0.0019117 -0.0001534  0.0017011  0.0001463  0.0017011  0.0001463  0.0017990  0.0001553  0.0018219 -0.0001469 -0.0027453  0.0000015 -0.0027453  0.0000015  0.9972051 -0.0000000 -0.0026997  0.0000030 -0.0026997  0.0000030 -0.0027949 -0.0000000  0.0013204 -0.0001064  0.0012377  0.0001068  0.0012377  0.0001068  0.0013204 -0.0001064  0.0013504 -0.0001078  0.0012012  0.0001029
 -0.0123883 -0.0000068  0.0016052 -0.0001365  0.0016052 -0.0001365  0.0016481  0.0001336  0.0016481  0.0001336  0.0017425  0.0001419  0.0015301 -0.0001306 -0.0024751 -0.0000014 -0.0024751 -0.0000014 -0.0025197 -0.0000028  0.9975659 -0.0000000 -0.0024341 -0.0000000 -0.0025197 -0.0000028  0.0011089 -0.0000947  0.0011989  0.0000976  0.0011989  0.0000976  0.0011089 -0.0000947  0.0011336 -0.0000960  0.0011640  0.0000939
 -0.0123883 -0.0000068  0.0016052 -0.0001365  0.0016052 -0.0001365  0.0016481  0.0001336  0.0016481  0.0001336  0.0017425  0.0001419  0.0015301 -0.0001306 -0.0024751 -0.0000014 -0.0024751 -0.0000014 -0.0025197 -0.0000028 -0.0024341  0.0000000  0.9975659 -0.0000000 -0.0025197 -0.0000028  0.0011089 -0.0000947  0.0011989  0.0000976  0.0011989  0.0000976  0.0011089 -0.0000947  0.0011336 -0.0000960  0.0011640  0.0000939
 -0.0137407  0.0000075  0.0019117 -0.0001534  0.0019117 -0.0001534  0.0017011  0.0001463  0.0017011  0.0001463  0.0017990  0.0001553  0.0018219 -0.0001469 -0.0027453  0.0000015 -0.0027453  0.0000015 -0.0027949  0.0000000 -0.0026997  0.0000030 -0.0026997  0.0000030  0.9972051 -0.0000000  0.0013204 -0.0001064  0.0012377  0.0001068  0.0012377  0.0001068  0.0013204 -0.0001064  0.0013504 -0.0001078  0.0012012  0.0001029
  0.0051533  0.0004272 -0.0348012 -0.0000210 -0.0348012 -0.0000210  0.0322909 -0.0001034  0.0322909 -0.0001034  0.0340456 -0.0000885 -0.0330789  0.0000000  0.0010296  0.0000853  0.0010296  0.0000853  0.0010853  0.0000875  0.0009766  0.0000834  0.0009766  0.0000834  0.0010853  0.0000875  0.9760257  0.0000000  0.0234242 -0.0000609  0.0234242 -0.0000609 -0.0239743  0.0000000 -0.0246480 -0.0000297  0.0228699 -0.0000870
  0.0053701 -0.0004499  0.0352016  0.0001127  0.0352016  0.0001127 -0.0353949  0.0000213 -0.0353949  0.0000213 -0.0373226 -0.0000000  0.0334557  0.0000870  0.0010729 -0.0000899  0.0010729 -0.0000899  0.0010531 -0.0000909  0.0010929 -0.0000890  0.0010929 -0.0000890  0.0010531 -0.0000909  0.0242474  0.0000630  0.9743211  0.0000000 -0.0256789 -0.0000000  0.0242474  0.0000630  0.0249344  0.0000948 -0.0250655  0.0000302
  0.0053701 -0.0004499  0.0352016  0.0001127  0.0352016  0.0001127 -0.0353949  0.0000213 -0.0353949  0.0000213 -0.0373226  0.0000000  0.0334557  0.0000870  0.0010729 -0.0000899  0.0010729 -0.0000899  0.0010531 -0.0000909  0.0010929 -0.0000890  0.0010929 -0.0000890  0.0010531 -0.0000909  0.0242474  0.0000630 -0.0256789  0.0000000  0.9743211  0.0000000  0.0242474  0.0000630  0.0249344  0.0000948 -0.0250655  0.0000302
  0.0051533  0.0004272 -0.0348012 -0.0000210 -0.0348012 -0.0000210  0.0322909 -0.0001034  0.0322909 -0.0001034  0.0340456 -0.0000885 -0.0330789 -0.0000000  0.0010296  0.0000853  0.0010296  0.0000853  0.0010853  0.0000875  0.0009766  0.0000834  0.0009766  0.0000834  0.0010853  0.0000875 -0.0239743 -0.0000000  0.0234242 -0.0000609  0.0234242 -0.0000609  0.9760257  0.0000000 -0.0246480 -0.0000297  0.0228699 -0.0000870
  0.0055544  0.0004563 -0.0377168  0.0000227 -0.0377168  0.0000227  0.0350041 -0.0001542  0.0350041 -0.0001542  0.0369064 -0.0001404 -0.0358502  0.0000432  0.0011097  0.0000912  0.0011097  0.0000912  0.0011700  0.0000934  0.0010524  0.0000891  0.0010524  0.0000891  0.0011700  0.0000934 -0.0259828  0.0000313  0.0253925 -0.0000966  0.0253925 -0.0000966 -0.0259828  0.0000313  0.9732869  0.0000000  0.0247915 -0.0001241
  0.0049538 -0.0004113  0.0326611  0.0001439  0.0326611  0.0001439 -0.0328331 -0.0000198 -0.0328331 -0.0000198 -0.0346213 -0.0000417  0.0310412  0.0001181  0.0009897 -0.0000822  0.0009897 -0.0000822  0.0009713 -0.0000832  0.0010084 -0.0000813  0.0010084 -0.0000813  0.0009713 -0.0000832  0.0224975  0.0000856 -0.0238203 -0.0000287 -0.0238203 -0.0000287  0.0224975  0.0000856  0.0231349  0.0001158  0.9767487  0.0000000
  0.0500000   0.0000000   0.0000000  10.0000000  10.0000000
