  0.050000 10	100	-20.0990057	-20.0990049	-19.9485124	-19.9418505	-19.9161886	-19.9161884	-19.6455403	-19.6448266	
  0.100000 10	100	-10.9828785	-10.9828777	-10.8323852	-10.8257233	-10.8000613	-10.8000612	-10.5294130	-10.5286993	
  0.150000 10	100	 -7.9409422	 -7.9409414	 -7.7904489	 -7.7837870	 -7.7581251	 -7.7581249	 -7.4874768	 -7.4867631	
  0.200000 10	100	 -6.4163598	 -6.4163591	 -6.2658665	 -6.2592046	 -6.2335427	 -6.2335426	 -5.9628944	 -5.9621807	
  0.250000 10	100	 -5.4977791	 -5.4977783	 -5.3472858	 -5.3406239	 -5.3149620	 -5.3149619	 -5.0443137	 -5.0436000	
  0.300000 10	100	 -4.8814322	 -4.8814314	 -4.7309389	 -4.7242770	 -4.6986151	 -4.6986149	 -4.4279668	 -4.4272531	
  0.350000 10	100	 -4.4371495	 -4.4371487	 -4.2866562	 -4.2799943	 -4.2543323	 -4.2543322	 -3.9836840	 -3.9829703	
  0.400000 10	100	 -4.0998628	 -4.0998621	 -3.9493695	 -3.9427076	 -3.9170457	 -3.9170456	 -3.6463974	 -3.6456837	
  0.450000 10	100	 -3.8334397	 -3.8334390	 -3.6829464	 -3.6762845	 -3.6506226	 -3.6506225	 -3.3799743	 -3.3792606	
  0.500000 10	100	 -3.6162170	 -3.6162162	 -3.4657237	 -3.4590618	 -3.4333999	 -3.4333997	 -3.1627516	 -3.1620379	
  0.550000 10	100	 -3.4344249	 -3.4344241	 -3.2839316	 -3.2772697	 -3.2516078	 -3.2516076	 -2.9809595	 -2.9802458	
  0.600000 10	100	 -3.2788992	 -3.2788985	 -3.1284060	 -3.1217440	 -3.0960821	 -3.0960820	 -2.8254338	 -2.8247201	
  0.050000 20	400	 -8.1971530	 -8.1971523	 -7.9814816	 -7.9781783	 -7.9605142	 -7.9605141	 -7.8547490	 -7.8547486	
  0.100000 20	400	 -3.6401511	 -3.6401504	 -3.4244796	 -3.4211764	 -3.4035123	 -3.4035121	 -3.2977471	 -3.2977467	
  0.150000 20	400	 -2.1209481	 -2.1209474	 -1.9052767	 -1.9019734	 -1.8843093	 -1.8843092	 -1.7785441	 -1.7785437	
  0.200000 20	400	 -1.3611193	 -1.3611185	 -1.1454478	 -1.1421446	 -1.1244805	 -1.1244803	 -1.0187153	 -1.0187149	
  0.250000 20	400	 -0.9049799	 -0.9049791	 -0.6893084	 -0.6860051	 -0.6683410	 -0.6683409	 -0.5625758	 -0.5625755	
  0.300000 20	400	 -0.6006352	 -0.6006345	 -0.3849638	 -0.3816605	 -0.3639964	 -0.3639963	 -0.2582312	 -0.2582308	
  0.350000 20	400	 -0.3829879	 -0.3829872	 -0.1673165	 -0.1640132	 -0.1463491	 -0.1463490	 -0.0405839	 -0.0405836	
  0.400000 20	400	 -0.2194896	 -0.2194889	 -0.0038182	 -0.0005149	  0.0171492	  0.0171493	  0.1229144	  0.1229148	
  0.450000 20	400	 -0.0920581	 -0.0920574	  0.1236133	  0.1269166	  0.1445807	  0.1445808	  0.2503459	  0.2503463	
  0.500000 20	400	  0.0101556	  0.0101563	  0.2258270	  0.2291303	  0.2467944	  0.2467945	  0.3525596	  0.3525599	
  0.550000 20	400	  0.0940550	  0.0940557	  0.3097264	  0.3130297	  0.3306938	  0.3306940	  0.4364590	  0.4364594	
  0.600000 20	400	  0.1642423	  0.1642430	  0.3799137	  0.3832170	  0.4008811	  0.4008812	  0.5066463	  0.5066467	
  0.050000 30	900	 -4.7022868	 -4.7022860	 -4.4590648	 -4.4536478	 -4.4235678	 -4.4235677	 -4.4018138	 -4.4018138	
  0.100000 30	900	 -1.6643567	 -1.6643560	 -1.4211348	 -1.4157178	 -1.3856378	 -1.3856376	 -1.3638838	 -1.3638837	
  0.150000 30	900	 -0.6516734	 -0.6516726	 -0.4084515	 -0.4030345	 -0.3729545	 -0.3729543	 -0.3512005	 -0.3512004	
  0.200000 30	900	 -0.1452868	 -0.1452860	  0.0979351	  0.1033521	  0.1334321	  0.1334323	  0.1551862	  0.1551862	
  0.250000 30	900	  0.1585931	  0.1585938	  0.4018150	  0.4072320	  0.4373120	  0.4373122	  0.4590660	  0.4590661	
  0.300000 30	900	  0.3612295	  0.3612303	  0.6044515	  0.6098685	  0.6399485	  0.6399486	  0.6617025	  0.6617025	
  0.350000 30	900	  0.5060211	  0.5060218	  0.7492430	  0.7546600	  0.7847400	  0.7847402	  0.8064940	  0.8064941	
  0.400000 30	900	  0.6146670	  0.6146677	  0.8578889	  0.8633059	  0.8933859	  0.8933861	  0.9151399	  0.9151400	
  0.450000 30	900	  0.6992223	  0.6992231	  0.9424443	  0.9478612	  0.9779412	  0.9779414	  0.9996953	  0.9996953	
  0.500000 30	900	  0.7669201	  0.7669209	  1.0101421	  1.0155591	  1.0456391	  1.0456393	  1.0673931	  1.0673931	
  0.550000 30	900	  0.8223633	  0.8223640	  1.0655852	  1.0710022	  1.1010822	  1.1010824	  1.1228362	  1.1228363	
  0.600000 30	900	  0.8686202	  0.8686210	  1.1118422	  1.1172592	  1.1473391	  1.1473393	  1.1690932	  1.1690932	
  0.050000 40	1600	 -3.0553472	 -3.0553465	 -2.8093817	 -2.8037944	 -2.7728337	 -2.7728334	 -2.7283485	 -2.7283483	
  0.100000 40	1600	 -0.7769127	 -0.7769119	 -0.5309472	 -0.5253599	 -0.4943991	 -0.4943989	 -0.4499140	 -0.4499138	
  0.150000 40	1600	 -0.0174219	 -0.0174211	  0.2285436	  0.2341309	  0.2650917	  0.2650919	  0.3095769	  0.3095771	
  0.200000 40	1600	  0.3623378	  0.3623385	  0.6083033	  0.6138906	  0.6448514	  0.6448516	  0.6893365	  0.6893367	
  0.250000 40	1600	  0.5902087	  0.5902095	  0.8361742	  0.8417615	  0.8727223	  0.8727225	  0.9172075	  0.9172077	
  0.300000 40	1600	  0.7421385	  0.7421392	  0.9881040	  0.9936913	  1.0246521	  1.0246523	  1.0691372	  1.0691374	
  0.350000 40	1600	  0.8506760	  0.8506767	  1.0966415	  1.1022288	  1.1331896	  1.1331898	  1.1776747	  1.1776749	
  0.400000 40	1600	  0.9320957	  0.9320964	  1.1780612	  1.1836485	  1.2146092	  1.2146095	  1.2590944	  1.2590946	
