  0.050000 10	100	-18.6810467	-18.6689501	-18.1881419	-17.5091613	-17.5053338	-17.4967832	-17.2300235	-17.2276640	
  0.100000 10	100	 -7.2067332	 -7.1946367	 -6.7138284	 -6.0348478	 -6.0310204	 -6.0224697	 -5.7557100	 -5.7533505	
  0.150000 10	100	 -3.3813267	 -3.3692302	 -2.8884219	 -2.2094413	 -2.2056138	 -2.1970632	 -1.9303035	 -1.9279440	
  0.200000 10	100	 -1.4679114	 -1.4558149	 -0.9750066	 -0.2960261	 -0.2921986	 -0.2836479	 -0.0168882	 -0.0145287	
  0.250000 10	100	 -0.3191070	 -0.3070105	  0.1737978	  0.8527784	  0.8566058	  0.8651565	  1.1319162	  1.1342757	
  0.300000 10	100	  0.4475438	  0.4596403	  0.9404486	  1.6194291	  1.6232566	  1.6318073	  1.8985670	  1.9009265	
  0.350000 10	100	  0.9959481	  1.0080446	  1.4888529	  2.1678335	  2.1716609	  2.1802116	  2.4469713	  2.4493308	
  0.400000 10	100	  1.4080563	  1.4201529	  1.9009611	  2.5799417	  2.5837692	  2.5923198	  2.8590795	  2.8614390	
  0.450000 10	100	  1.7293933	  1.7414899	  2.2222981	  2.9012787	  2.9051062	  2.9136568	  3.1804165	  3.1827760	
  0.500000 10	100	  1.9872708	  1.9993673	  2.4801756	  3.1591562	  3.1629836	  3.1715343	  3.4382940	  3.4406535	
  0.550000 10	100	  2.1990657	  2.2111622	  2.6919705	  3.3709511	  3.3747786	  3.3833292	  3.6500889	  3.6524484	
  0.600000 10	100	  2.3763598	  2.3884563	  2.8692646	  3.5482451	  3.5520726	  3.5606233	  3.8273829	  3.8297424	
  0.050000 20	400	 -7.2714680	 -7.2571497	 -6.7683251	 -6.0555405	 -6.0519626	 -5.9695020	 -5.7213223	 -5.7193763	
  0.100000 20	400	 -1.5345203	 -1.5202020	 -1.0313773	 -0.3185928	 -0.3150149	 -0.2325542	  0.0156255	  0.0175715	
  0.150000 20	400	  0.3778355	  0.3921538	  0.8809784	  1.5937630	  1.5973409	  1.6798015	  1.9279812	  1.9299273	
  0.200000 20	400	  1.3340581	  1.3483764	  1.8372010	  2.5499856	  2.5535635	  2.6360241	  2.8842038	  2.8861499	
  0.250000 20	400	  1.9078393	  1.9221576	  2.4109823	  3.1237669	  3.1273447	  3.2098054	  3.4579851	  3.4599311	
  0.300000 20	400	  2.2904097	  2.3047280	  2.7935527	  3.5063372	  3.5099151	  3.5923758	  3.8405555	  3.8425015	
  0.350000 20	400	  2.5637252	  2.5780435	  3.0668681	  3.7796527	  3.7832306	  3.8656912	  4.1138709	  4.1158169	
  0.400000 20	400	  2.7687635	  2.7830819	  3.2719065	  3.9846911	  3.9882689	  4.0707296	  4.3189093	  4.3208553	
  0.450000 20	400	  2.9282903	  2.9426086	  3.4314332	  4.1442178	  4.1477957	  4.2302564	  4.4784360	  4.4803821	
  0.500000 20	400	  3.0559647	  3.0702830	  3.5591076	  4.2718922	  4.2754700	  4.3579307	  4.6061104	  4.6080564	
  0.550000 20	400	  3.1604788	  3.1747971	  3.6636217	  4.3764063	  4.3799841	  4.4624448	  4.7106245	  4.7125705	
  0.600000 20	400	  3.2476273	  3.2619457	  3.7507703	  4.4635549	  4.4671327	  4.5495934	  4.7977731	  4.7997191	
  0.050000 30	900	 -3.6269661	 -3.6118080	 -3.1224804	 -2.4042194	 -2.4008257	 -2.3171573	 -2.0611009	 -2.0591132	
  0.100000 30	900	  0.1976517	  0.2128098	  0.7021375	  1.4203984	  1.4237921	  1.5074605	  1.7635170	  1.7655046	
  0.150000 30	900	  1.4725322	  1.4876903	  1.9770179	  2.6952789	  2.6986726	  2.7823410	  3.0383974	  3.0403851	
  0.200000 30	900	  2.1099813	  2.1251394	  2.6144670	  3.3327280	  3.3361217	  3.4197901	  3.6758465	  3.6778342	
  0.250000 30	900	  2.4924602	  2.5076183	  2.9969459	  3.7152069	  3.7186006	  3.8022690	  4.0583254	  4.0603130	
  0.300000 30	900	  2.7474559	  2.7626140	  3.2519417	  3.9702026	  3.9735963	  4.0572647	  4.3133212	  4.3153088	
  0.350000 30	900	  2.9296058	  2.9447639	  3.4340916	  4.1523525	  4.1557462	  4.2394146	  4.4954711	  4.4974587	
  0.400000 30	900	  3.0662285	  3.0813866	  3.5707143	  4.2889753	  4.2923690	  4.3760374	  4.6320938	  4.6340814	
  0.450000 30	900	  3.1725011	  3.1876592	  3.6769868	  4.3952478	  4.3986415	  4.4823099	  4.7383663	  4.7403540	
  0.500000 30	900	  3.2575297	  3.2726878	  3.7620154	  4.4802764	  4.4836701	  4.5673385	  4.8233949	  4.8253826	
  0.550000 30	900	  3.3271092	  3.3422673	  3.8315949	  4.5498559	  4.5532496	  4.6369180	  4.8929744	  4.8949620	
  0.600000 30	900	  3.3851028	  3.4002609	  3.8895885	  4.6078495	  4.6112432	  4.6949116	  4.9509680	  4.9529557	
  0.050000 40	1600	 -1.8360373	 -1.8204828	 -1.3300695	 -0.6122773	 -0.6089602	 -0.5244978	 -0.2669619	 -0.2649828	
  0.100000 40	1600	  1.0324235	  1.0479780	  1.5383913	  2.2561835	  2.2595006	  2.3439630	  2.6014989	  2.6034780	
  0.150000 40	1600	  1.9885796	  2.0041341	  2.4945474	  3.2123396	  3.2156567	  3.3001191	  3.5576550	  3.5596341	
  0.200000 40	1600	  2.4666605	  2.4822150	  2.9726282	  3.6904204	  3.6937375	  3.7782000	  4.0357358	  4.0377149	
  0.250000 40	1600	  2.7535120	  2.7690665	  3.2594797	  3.9772719	  3.9805890	  4.0650515	  4.3225873	  4.3245664	
  0.300000 40	1600	  2.9447494	  2.9603039	  3.4507172	  4.1685094	  4.1718264	  4.2562889	  4.5138247	  4.5158038	
  0.350000 40	1600	  3.0813508	  3.0969053	  3.5873185	  4.3051107	  4.3084278	  4.3928903	  4.6504261	  4.6524052	
  0.400000 40	1600	  3.1838051	  3.1993596	  3.6897728	  4.4075650	  4.4108821	  4.4953446	  4.7528804	  4.7548595	
  0.450000 40	1600	  3.2634951	  3.2790496	  3.7694628	  4.4872550	  4.4905721	  4.5750346	  4.8325704	  4.8345495	
  0.500000 40	1600	  3.3272504	  3.3428049	  3.8332181	  4.5510103	  4.5543274	  4.6387899	  4.8963257	  4.8983048	
  0.550000 40	1600	  3.3794172	  3.3949717	  3.8853850	  4.6031772	  4.6064942	  4.6909567	  4.9484925	  4.9504716	
  0.600000 40	1600	  3.4228930	  3.4384475	  3.9288607	  4.6466529	  4.6499700	  4.7344325	  4.9919683	  4.9939474	
  0.050000 50	2500	 -0.7743147	 -0.7584699	 -0.2754841	  0.4516051	  0.4548971	  0.5396679	  0.7978249	  0.7998021	
  0.100000 50	2500	  1.5204532	  1.5362980	  2.0192838	  2.7463730	  2.7496650	  2.8344358	  3.0925928	  3.0945700	
  0.150000 50	2500	  2.2853769	  2.3012216	  2.7842075	  3.5112966	  3.5145887	  3.5993594	  3.8575165	  3.8594937	
  0.200000 50	2500	  2.6678399	  2.6836846	  3.1666705	  3.8937596	  3.8970517	  3.9818224	  4.2399794	  4.2419567	
  0.250000 50	2500	  2.8973189	  2.9131636	  3.3961495	  4.1232386	  4.1265307	  4.2113014	  4.4694585	  4.4714357	
  0.300000 50	2500	  3.0503062	  3.0661509	  3.5491368	  4.2762259	  4.2795180	  4.3642887	  4.6224457	  4.6244230	
  0.350000 50	2500	  3.1595841	  3.1754289	  3.6584147	  4.3855038	  4.3887959	  4.4735667	  4.7317237	  4.7337009	
  0.400000 50	2500	  3.2415439	  3.2573886	  3.7403745	  4.4674636	  4.4707557	  4.5555264	  4.8136835	  4.8156607	
  0.450000 50	2500	  3.3052918	  3.3211365	  3.8041224	  4.5312115	  4.5345036	  4.6192743	  4.8774313	  4.8794086	
